hotel_name,location,landmark,ratings,info,price,tag,accessibility,occupancy_details,description
SN Villa | 4 BHK Pool Villa,Porvorim,| 1.1 km drive to Candolim Beach,4.5,"['Bed in a Hostel', '| 2 Dorm Beds']","₹40,931 per night",Like a 4 Star,Entire Villa,| 4 Bedrooms | Sleeps 16 guests,"CoupleFriendlyEntirevillawithakitchen,spaciouslivingarea&Wi-Fi"
Localvibe - Micasa 2bhk service apartment in North Goa,Bardez,| 6 minutes walk to Morjim Beach,4.3,"['Paid Parking', 'Housekeeping']","₹10,020 per night",null,Entire Apartment,| 2 Bedrooms | Sleeps 8 guests,CoupleFriendly
"FabExpress Shanel Beachside Resort - Tito's lane, Baga Beach",Baga,| 1.5 km drive to Calangute Beach,2.4,"['Swimming Pool', 'Spa']","₹2,809 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesStayjust1minawayfromBagaBeachandTito’sClubforaperfectbeachvacation
Saldana Kyle 2BHK pool view apartment,Calangute,| 6 minutes walk to Calangute Beach,3.9,"['Caretaker', 'Luggage Storage']","₹6,537 per night",null,Entire Apartment,| 2 Bedrooms | Sleeps 8 guests,
Vitusia Inn,Calangute Baga Road,| 2 minutes walk to Calangute Beach,null,"['Entire Apartment', '| 1 Bedroom | Sleeps 4 guests']","₹1,685 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyFreeCancellationBook@₹0available
TGF  Dream Guest House,Majorda,| 4-5 minutes walk from Calangute Beach,3.9,"['Shared Swimming Pool', 'Caretaker']","₹1,528 per night",null,null,null,FreeCancellationBook@₹0available
Coco Apartment with Pool,Arpora,null,2.5,"['null', '| 2 Bedrooms | Sleeps 8 guests']","₹26,791 per night",Like a 3 Star,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,
Thomson Beach House Calangute,Calangute,| 3 minutes walk to Morjim Beach,2.9,"['Private Swimming Pool', 'Caretaker']","₹1,198 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 5 guests,
Hotel O On The Rocks,Arambol Beach,| 2.5 km drive to Vagator Beach,3.4,"['Bonfire', 'Caretaker']","₹4,167 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableDistributedbyOYO
Sameer Cottages | Wooden Beach Huts,Palolem,| 4-5 minutes walk from Candolim Beach,2.9,"['Yoga', 'Entire Apartment']","₹21,190 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
